Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1 pair1	decontaminated hg37dec_v0.1 pair2	decontaminated hg37dec_v0.1 orphan1	decontaminated hg37dec_v0.1 orphan2	final pair1	final pair2	final orphan1	final orphan2
J51	23517317.0	23517317.0	22961281.0	22961281.0	334436.0	172440.0	22238883.0	22238883.0	370684.0	209032.0	22238883.0	22238883.0	370684.0	209032.0
J52	23948221.0	23948221.0	23413905.0	23413905.0	324193.0	161103.0	22452321.0	22452321.0	469659.0	309954.0	22452321.0	22452321.0	469659.0	309954.0
J53	23561643.0	23561643.0	23052090.0	23052090.0	309677.0	161049.0	21976408.0	21976408.0	400050.0	255417.0	21976408.0	21976408.0	400050.0	255417.0
J54	23293752.0	23293752.0	22602463.0	22602463.0	421886.0	211799.0	4200572.0	4200572.0	70692.0	48084.0	4200572.0	4200572.0	70692.0	48084.0
J55	22409298.0	22409298.0	21850581.0	21850581.0	337060.0	174678.0	9226807.0	9226807.0	169246.0	115938.0	9226807.0	9226807.0	169246.0	115938.0
J56	22203621.0	22203621.0	21686703.0	21686703.0	327073.0	143969.0	20908020.0	20908020.0	516789.0	334847.0	20908020.0	20908020.0	516789.0	334847.0
J57	23227142.0	23227142.0	22751173.0	22751173.0	248543.0	186989.0	22163605.0	22163605.0	338695.0	273823.0	22163605.0	22163605.0	338695.0	273823.0
J58	22419979.0	22419979.0	21955708.0	21955708.0	256435.0	169320.0	21488338.0	21488338.0	365268.0	274482.0	21488338.0	21488338.0	365268.0	274482.0
J59	22847686.0	22847686.0	22376726.0	22376726.0	229034.0	203939.0	20517336.0	20517336.0	282452.0	261193.0	20517336.0	20517336.0	282452.0	261193.0
J6	24168652.0	24168652.0	23686368.0	23686368.0	295964.0	136769.0	22917908.0	22917908.0	379371.0	221252.0	22917908.0	22917908.0	379371.0	221252.0
